book,chapter,verse,text
philippians,1,1,παυλος και τιμοθεος δουλοι ιησου χριστου πασιν τοις αγιοις εν χριστω ιησου τοις ουσιν εν φιλιπποις συν επισκοποις και διακονοις
philippians,1,2,χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου
philippians,1,3,ευχαριστω τω θεω μου επι παση τη μνεια υμων
philippians,1,4,παντοτε εν παση δεησει μου υπερ παντων υμων μετα χαρας την δεησιν ποιουμενος
philippians,1,5,επι τη κοινωνια υμων εις το ευαγγελιον απο πρωτης ημερας αχρι του νυν
philippians,1,6,πεποιθως αυτο τουτο οτι ο εναρξαμενος εν υμιν εργον αγαθον επιτελεσει αχρις ημερας ιησου χριστου
philippians,1,7,καθως εστιν δικαιον εμοι τουτο φρονειν υπερ παντων υμων δια το εχειν με εν τη καρδια υμας εν τε τοις δεσμοις μου και τη απολογια και βεβαιωσει του ευαγγελιου συγκοινωνους μου της χαριτος παντας υμας οντας
philippians,1,8,μαρτυς γαρ μου εστιν ο θεος ως επιποθω παντας υμας εν σπλαγχνοις ιησου χριστου
philippians,1,9,και τουτο προσευχομαι ινα η αγαπη υμων ετι μαλλον και μαλλον περισσευη εν επιγνωσει και παση αισθησει
philippians,1,10,εις το δοκιμαζειν υμας τα διαφεροντα ινα ητε ειλικρινεις και απροσκοποι εις ημεραν χριστου
philippians,1,11,πεπληρωμενοι καρπων δικαιοσυνης των δια ιησου χριστου εις δοξαν και επαινον θεου
philippians,1,12,γινωσκειν δε υμας βουλομαι αδελφοι οτι τα κατ εμε μαλλον εις προκοπην του ευαγγελιου εληλυθεν
philippians,1,13,ωστε τους δεσμους μου φανερους εν χριστω γενεσθαι εν ολω τω πραιτωριω και τοις λοιποις πασιν
philippians,1,14,και τους πλειονας των αδελφων εν κυριω πεποιθοτας τοις δεσμοις μου περισσοτερως τολμαν αφοβως τον λογον λαλειν
philippians,1,15,τινες μεν και δια φθονον και εριν τινες δε και δι ευδοκιαν τον χριστον κηρυσσουσιν
philippians,1,16,οι μεν εξ εριθειας τον χριστον καταγγελλουσιν ουχ αγνως οιομενοι θλιψιν επιφερειν τοις δεσμοις μου
philippians,1,17,οι δε εξ αγαπης ειδοτες οτι εις απολογιαν του ευαγγελιου κειμαι
philippians,1,18,τι γαρ πλην παντι τροπω ειτε προφασει ειτε αληθεια χριστος καταγγελλεται και εν τουτω χαιρω αλλα και χαρησομαι
philippians,1,19,οιδα γαρ οτι τουτο μοι αποβησεται εις σωτηριαν δια της υμων δεησεως και επιχορηγιας του πνευματος ιησου χριστου
philippians,1,20,κατα την αποκαραδοκιαν και ελπιδα μου οτι εν ουδενι αισχυνθησομαι αλλ εν παση παρρησια ως παντοτε και νυν μεγαλυνθησεται χριστος εν τω σωματι μου ειτε δια ζωης ειτε δια θανατου
philippians,1,21,εμοι γαρ το ζην χριστος και το αποθανειν κερδος
philippians,1,22,ει δε το ζην εν σαρκι τουτο μοι καρπος εργου και τι αιρησομαι ου γνωριζω
philippians,1,23,συνεχομαι γαρ εκ των δυο την επιθυμιαν εχων εις το αναλυσαι και συν χριστω ειναι πολλω μαλλον κρεισσον
philippians,1,24,το δε επιμενειν εν τη σαρκι αναγκαιοτερον δι υμας
philippians,1,25,και τουτο πεποιθως οιδα οτι μενω και συμπαραμενω πασιν υμιν εις την υμων προκοπην και χαραν της πιστεως
philippians,1,26,ινα το καυχημα υμων περισσευη εν χριστω ιησου εν εμοι δια της εμης παρουσιας παλιν προς υμας
philippians,1,27,μονον αξιως του ευαγγελιου του χριστου πολιτευεσθε ινα ειτε ελθων και ιδων υμας ειτε απων ακουσω τα περι υμων οτι στηκετε εν ενι πνευματι μια ψυχη συναθλουντες τη πιστει του ευαγγελιου
philippians,1,28,και μη πτυρομενοι εν μηδενι υπο των αντικειμενων ητις αυτοις μεν εστιν ενδειξις απωλειας υμιν δε σωτηριας και τουτο απο θεου
philippians,1,29,οτι υμιν εχαρισθη το υπερ χριστου ου μονον το εις αυτον πιστευειν αλλα και το υπερ αυτου πασχειν
philippians,1,30,τον αυτον αγωνα εχοντες οιον εν εμοι και νυν ακουετε εν εμοι
