book,chapter,verse,text,preprocessed_text,label
romans,1.0,1.0,παυλος δουλος ιησου χριστου κλητος αποστολος αφωρισμενος εις ευαγγελιον θεου,παυλος δουλος ιησου χριστου κλητος αποστολος αφωρισμενος εις ευαγγελιον θεου,1
romans,1.0,2.0,ο προεπηγγειλατο δια των προφητων αυτου εν γραφαις αγιαις,ο προεπηγγειλατο δια των προφητων αυτου εν γραφαις αγιαις,1
romans,1.0,3.0,περι του υιου αυτου του γενομενου εκ σπερματος δαβιδ κατα σαρκα,περι του υιου αυτου του γενομενου εκ σπερματος δαβιδ κατα σαρκα,1
romans,1.0,4.0,του ορισθεντος υιου θεου εν δυναμει κατα πνευμα αγιωσυνης εξ αναστασεως νεκρων ιησου χριστου του κυριου ημων,του ορισθεντος υιου θεου εν δυναμει κατα πνευμα αγιωσυνης εξ αναστασεως νεκρων ιησου χριστου του κυριου ημων,1
romans,1.0,5.0,δι ου ελαβομεν χαριν και αποστολην εις υπακοην πιστεως εν πασιν τοις εθνεσιν υπερ του ονοματος αυτου,δι ου ελαβομεν χαριν και αποστολην εις υπακοην πιστεως εν πασιν τοις εθνεσιν υπερ του ονοματος αυτου,1
romans,1.0,6.0,εν οις εστε και υμεις κλητοι ιησου χριστου,εν οις εστε και υμεις κλητοι ιησου χριστου,1
romans,1.0,7.0,πασιν τοις ουσιν εν ρωμη αγαπητοις θεου κλητοις αγιοις χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου,πασιν τοις ουσιν εν ρωμη αγαπητοις θεου κλητοις αγιοις χαρις υμιν και ειρηνη απο θεου πατρος ημων και κυριου ιησου χριστου,1
romans,1.0,8.0,πρωτον μεν ευχαριστω τω θεω μου δια ιησου χριστου υπερ παντων υμων οτι η πιστις υμων καταγγελλεται εν ολω τω κοσμω,πρωτον μεν ευχαριστω τω θεω μου δια ιησου χριστου υπερ παντων υμων οτι η πιστις υμων καταγγελλεται εν ολω τω κοσμω,1
romans,1.0,9.0,μαρτυς γαρ μου εστιν ο θεος ω λατρευω εν τω πνευματι μου εν τω ευαγγελιω του υιου αυτου ως αδιαλειπτως μνειαν υμων ποιουμαι,μαρτυς γαρ μου εστιν ο θεος ω λατρευω εν τω πνευματι μου εν τω ευαγγελιω του υιου αυτου ως αδιαλειπτως μνειαν υμων ποιουμαι,1
romans,1.0,10.0,παντοτε επι των προσευχων μου δεομενος ειπως ηδη ποτε ευοδωθησομαι εν τω θεληματι του θεου ελθειν προς υμας,παντοτε επι των προσευχων μου δεομενος ειπως ηδη ποτε ευοδωθησομαι εν τω θεληματι του θεου ελθειν προς υμας,1
romans,1.0,11.0,επιποθω γαρ ιδειν υμας ινα τι μεταδω χαρισμα υμιν πνευματικον εις το στηριχθηναι υμας,επιποθω γαρ ιδειν υμας ινα τι μεταδω χαρισμα υμιν πνευματικον εις το στηριχθηναι υμας,1
romans,1.0,12.0,τουτο δε εστιν συμπαρακληθηναι εν υμιν δια της εν αλληλοις πιστεως υμων τε και εμου,τουτο δε εστιν συμπαρακληθηναι εν υμιν δια της εν αλληλοις πιστεως υμων τε και εμου,1
romans,1.0,13.0,ου θελω δε υμας αγνοειν αδελφοι οτι πολλακις προεθεμην ελθειν προς υμας και εκωλυθην αχρι του δευρο ινα καρπον τινα σχω και εν υμιν καθως και εν τοις λοιποις εθνεσιν,ου θελω δε υμας αγνοειν αδελφοι οτι πολλακις προεθεμην ελθειν προς υμας και εκωλυθην αχρι του δευρο ινα καρπον τινα σχω και εν υμιν καθως και εν τοις λοιποις εθνεσιν,1
romans,1.0,14.0,ελλησιν τε και βαρβαροις σοφοις τε και ανοητοις οφειλετης ειμι,ελλησιν τε και βαρβαροις σοφοις τε και ανοητοις οφειλετης ειμι,1
romans,1.0,15.0,ουτως το κατ εμε προθυμον και υμιν τοις εν ρωμη ευαγγελισασθαι,ουτως το κατ εμε προθυμον και υμιν τοις εν ρωμη ευαγγελισασθαι,1
romans,1.0,16.0,ου γαρ επαισχυνομαι το ευαγγελιον του χριστου δυναμις γαρ θεου εστιν εις σωτηριαν παντι τω πιστευοντι ιουδαιω τε πρωτον και ελληνι,ου γαρ επαισχυνομαι το ευαγγελιον του χριστου δυναμις γαρ θεου εστιν εις σωτηριαν παντι τω πιστευοντι ιουδαιω τε πρωτον και ελληνι,1
romans,1.0,17.0,δικαιοσυνη γαρ θεου εν αυτω αποκαλυπτεται εκ πιστεως εις πιστιν καθως γεγραπται ο δε δικαιος εκ πιστεως ζησεται,δικαιοσυνη γαρ θεου εν αυτω αποκαλυπτεται εκ πιστεως εις πιστιν καθως γεγραπται ο δε δικαιος εκ πιστεως ζησεται,1
romans,1.0,18.0,αποκαλυπτεται γαρ οργη θεου απ ουρανου επι πασαν ασεβειαν και αδικιαν ανθρωπων των την αληθειαν εν αδικια κατεχοντων,αποκαλυπτεται γαρ οργη θεου απ ουρανου επι πασαν ασεβειαν και αδικιαν ανθρωπων των την αληθειαν εν αδικια κατεχοντων,1
romans,1.0,19.0,διοτι το γνωστον του θεου φανερον εστιν εν αυτοις ο γαρ θεος αυτοις εφανερωσεν,διοτι το γνωστον του θεου φανερον εστιν εν αυτοις ο γαρ θεος αυτοις εφανερωσεν,1
romans,1.0,20.0,τα γαρ αορατα αυτου απο κτισεως κοσμου τοις ποιημασιν νοουμενα καθοραται η τε αιδιος αυτου δυναμις και θειοτης εις το ειναι αυτους αναπολογητους,τα γαρ αορατα αυτου απο κτισεως κοσμου τοις ποιημασιν νοουμενα καθοραται η τε αιδιος αυτου δυναμις και θειοτης εις το ειναι αυτους αναπολογητους,1
romans,1.0,21.0,διοτι γνοντες τον θεον ουχ ως θεον εδοξασαν η ευχαριστησαν αλλ εματαιωθησαν εν τοις διαλογισμοις αυτων και εσκοτισθη η ασυνετος αυτων καρδια,διοτι γνοντες τον θεον ουχ ως θεον εδοξασαν η ευχαριστησαν αλλ εματαιωθησαν εν τοις διαλογισμοις αυτων και εσκοτισθη η ασυνετος αυτων καρδια,1
romans,1.0,22.0,φασκοντες ειναι σοφοι εμωρανθησαν,φασκοντες ειναι σοφοι εμωρανθησαν,1
romans,1.0,23.0,και ηλλαξαν την δοξαν του αφθαρτου θεου εν ομοιωματι εικονος φθαρτου ανθρωπου και πετεινων και τετραποδων και ερπετων,και ηλλαξαν την δοξαν του αφθαρτου θεου εν ομοιωματι εικονος φθαρτου ανθρωπου και πετεινων και τετραποδων και ερπετων,1
romans,1.0,24.0,διο και παρεδωκεν αυτους ο θεος εν ταις επιθυμιαις των καρδιων αυτων εις ακαθαρσιαν του ατιμαζεσθαι τα σωματα αυτων εν εαυτοις,διο και παρεδωκεν αυτους ο θεος εν ταις επιθυμιαις των καρδιων αυτων εις ακαθαρσιαν του ατιμαζεσθαι τα σωματα αυτων εν εαυτοις,1
romans,1.0,25.0,οιτινες μετηλλαξαν την αληθειαν του θεου εν τω ψευδει και εσεβασθησαν και ελατρευσαν τη κτισει παρα τον κτισαντα ος εστιν ευλογητος εις τους αιωνας αμην,οιτινες μετηλλαξαν την αληθειαν του θεου εν τω ψευδει και εσεβασθησαν και ελατρευσαν τη κτισει παρα τον κτισαντα ος εστιν ευλογητος εις τους αιωνας αμην,1
